Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y,Vision_Score,Defensive_Vulnerability
Home,BALL LOST,INTERCEPTION,1,13739,549.56,13766,550.64,Player6,,0.48,0.79,0.68,0.53,527.5763777221257,True
Away,RECOVERY,INTERCEPTION,1,13766,550.64,13766,550.64,Player15,,0.64,0.55,,,3389.517232710759,False
Away,BALL LOST,,1,13766,550.64,13814,552.56,Player15,,0.64,0.55,0.76,0.52,2502.9329446829884,True
Home,RECOVERY,,1,13814,552.56,13814,552.56,Player9,,0.73,0.56,,,3389.5359592965824,False
Home,CHALLENGE,TACKLE-LOST,1,13843,553.72,13843,553.72,Player9,,0.8,0.52,,,3389.5788765316174,False
Home,BALL LOST,THEFT,1,13843,553.72,13843,553.72,Player9,,0.8,0.52,,,3389.5788765316174,False
Away,CHALLENGE,TACKLE-WON,1,13844,553.76,13844,553.76,Player16,,0.81,0.53,,,3389.5752922861993,False
Away,RECOVERY,THEFT,1,13844,553.76,13844,553.76,Player16,,0.81,0.53,,,3389.5752922861993,False
Away,BALL OUT,CLEARANCE,1,13886,555.44,13987,559.48,Player16,,0.89,0.48,0.96,-0.04,,False
Home,SET PIECE,THROW IN,1,14574,582.96,14574,582.96,Player4,,,,,,0.0,True
Home,PASS,,1,14574,582.96,14607,584.28,Player4,Player9,0.86,-0.02,0.96,0.1,4406.806433394172,False
Home,PASS,,1,14607,584.28,14637,585.48,Player9,Player4,0.96,0.1,0.83,0.01,,False
Home,PASS,,1,14637,585.48,14666,586.64,Player4,Player8,0.83,0.01,0.92,0.21,3512.4407608085785,False
Home,BALL LOST,INTERCEPTION,1,14730,589.2,14741,589.64,Player8,,0.97,0.28,0.92,0.4,896.5853082876916,True
Away,RECOVERY,INTERCEPTION,1,14741,589.64,14741,589.64,Player21,,0.93,0.39,,,3389.182245902882,False
Away,PASS,,1,14772,590.88,14793,591.72,Player21,Player19,0.91,0.35,0.83,0.31,,False
Away,PASS,,1,14793,591.72,14815,592.6,Player19,Player16,0.83,0.31,0.92,0.37,4691.79354905834,False
Away,PASS,,1,14834,593.36,14870,594.8,Player16,Player21,0.91,0.35,0.8,0.12,,False
Away,PASS,,1,14870,594.8,14890,595.6,Player21,Player18,0.8,0.12,0.83,0.13,4406.716615229756,False
Away,PASS,,1,14890,595.6,14924,596.96,Player18,Player24,0.83,0.13,0.59,0.12,,False
Away,BALL LOST,,1,14967,598.68,15046,601.84,Player24,,0.58,0.04,0.31,0.06,,False
Home,RECOVERY,,1,15043,601.72,15043,601.72,Player2,,0.33,0.13,,,3389.662698767601,False
Home,PASS,,1,15043,601.72,15109,604.36,Player2,Player11,0.33,0.13,0.16,0.43,749.6112883110995,True
Home,BALL LOST,INTERCEPTION,1,15152,606.08,15224,608.96,Player11,,0.16,0.52,0.57,0.87,4584.047539569007,False
Away,CHALLENGE,AERIAL-WON,1,15222,608.88,15222,608.88,Player17,,0.54,0.84,,,3389.276344307717,False
Away,RECOVERY,INTERCEPTION,1,15222,608.88,15222,608.88,Player17,,0.54,0.84,,,3389.276344307717,False
Away,BALL LOST,HEAD,1,15222,608.88,15270,610.8,Player17,,0.54,0.84,0.39,0.91,,False
Home,CHALLENGE,AERIAL-LOST,1,15224,608.96,15224,608.96,Player5,,0.53,0.84,,,3389.279456246679,False
Home,RECOVERY,,1,15269,610.76,15269,610.76,Player1,,0.41,0.91,,,3389.170334206645,False
Home,PASS,,1,15298,611.92,15336,613.44,Player1,Player5,0.44,0.98,0.52,0.94,1874.005603450279,True
Away,RECOVERY,INTERCEPTION,1,15300,612.0,15300,612.0,Player22,,0.46,0.98,,,3389.130837326082,False
Away,BALL LOST,,1,15300,612.0,15336,613.44,Player22,,0.46,0.98,0.57,0.91,1558.5885656880894,True
Home,PASS,,1,15363,614.52,15379,615.16,Player5,Player9,0.56,0.96,0.6,0.88,,False
Home,PASS,,1,15419,616.76,15430,617.2,Player9,Player5,0.64,0.88,0.7,0.88,3268.2053589824754,True
Home,BALL LOST,,1,15430,617.2,15464,618.56,Player5,,0.7,0.88,0.81,0.71,257.2489365132111,True
Away,RECOVERY,,1,15462,618.48,15462,618.48,Player16,,0.79,0.71,,,3389.453528061396,False
Away,PASS,,1,15473,618.92,15521,620.84,Player16,Player25,0.8,0.71,0.94,0.61,1408.9204353237124,True
Away,BALL LOST,,1,15521,620.84,15646,625.84,Player25,,0.94,0.61,0.44,0.34,,False
Home,RECOVERY,INTERCEPTION,1,15646,625.84,15646,625.84,Player4,,0.46,0.34,,,3389.6117424811173,False
Home,PASS,HEAD,1,15646,625.84,15690,627.6,Player4,Player3,0.46,0.34,0.39,0.46,737.9270558879008,True
Home,CHALLENGE,GROUND-FAULT-WON,1,15690,627.6,15690,627.6,Player3,,0.39,0.46,,,3389.524627311632,False
Home,FAULT RECEIVED,,1,15690,627.6,15690,627.6,Player3,,0.39,0.46,,,3389.524627311632,False
Away,CHALLENGE,GROUND-FAULT-LOST,1,15690,627.6,15690,627.6,Player24,,0.4,0.46,,,3389.516801297048,False
Home,SET PIECE,FREE KICK,1,15917,636.68,15917,636.68,Player3,,,,,,0.0,True
Home,PASS,,1,15917,636.68,15973,638.92,Player3,Player1,0.34,0.44,0.43,0.91,2563.9221502035516,True
Home,PASS,,1,16045,641.8,16066,642.64,Player1,Player6,0.52,0.91,0.54,0.73,,False
Home,PASS,,1,16066,642.64,16094,643.76,Player6,Player1,0.54,0.73,0.53,0.9,1661.1793155994017,True
Home,PASS,,1,16094,643.76,16134,645.36,Player1,Player2,0.53,0.9,0.35,0.8,,False
Home,PASS,,1,16162,646.48,16193,647.72,Player2,Player3,0.35,0.79,0.3,0.53,,False
Home,PASS,,1,16223,648.92,16252,650.08,Player3,Player6,0.29,0.57,0.47,0.67,4595.051248649104,False
Home,PASS,,1,16252,650.08,16303,652.12,Player6,Player4,0.47,0.67,0.41,0.22,,False
Home,PASS,,1,16332,653.28,16359,654.36,Player4,Player10,0.44,0.22,0.53,0.27,4682.483650291801,False
Home,PASS,,1,16383,655.32,16424,656.96,Player10,Player8,0.56,0.24,0.69,0.03,178.08985024557595,True
Home,BALL LOST,,1,16465,658.6,16470,658.8,Player8,,0.77,0.07,0.78,0.14,2313.462075387918,True
Away,RECOVERY,INTERCEPTION,1,16471,658.84,16471,658.84,Player15,,0.8,0.13,,,3389.813220812746,False
Away,BALL OUT,,1,16471,658.84,16543,661.72,Player15,,0.8,0.13,1.03,0.2,4299.447343919096,False
