Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y,Vision_Score,Defensive_Vulnerability,Defensive_Rating_100
Home,BALL LOST,HEAD,1,8581,343.24,8652,346.08,Player10,,0.6,0.37,0.68,0.35,2528.699245284537,True,52.92474370897662
Away,RECOVERY,,1,8650,346.0,8650,346.0,Player15,,0.66,0.35,,,3389.4980131991374,False,70.9409448297061
Away,PASS,HEAD,1,8650,346.0,8686,347.44,Player15,Player16,0.66,0.35,0.75,0.38,4378.523654807179,False,91.64088718201295
Away,BALL LOST,,1,8686,347.44,8735,349.4,Player16,,0.75,0.38,0.64,0.28,,False,
Home,RECOVERY,,1,8734,349.36,8734,349.36,Player8,,0.64,0.23,,,3389.158335952357,False,70.9338355100576
Home,BALL OUT,,1,8753,350.12,8843,353.72,Player8,,0.65,0.21,0.74,-0.04,,False,
Away,SET PIECE,THROW IN,1,8868,354.72,8868,354.72,Player18,,,,,,0.0,True,0.0
Away,PASS,,1,8868,354.72,8892,355.68,Player18,Player19,0.77,-0.01,0.72,0.1,874.3648785047001,True,18.300134818043443
Away,BALL LOST,INTERCEPTION,1,8937,357.48,9068,362.72,Player19,,0.71,0.11,0.08,0.17,,False,
Home,RECOVERY,INTERCEPTION,1,9069,362.76,9069,362.76,Player3,,0.09,0.14,,,3389.661344259994,False,70.94436328864371
Home,BALL OUT,,1,9098,363.92,9127,365.08,Player3,,0.02,0.1,0.05,-0.04,,False,
Away,SET PIECE,THROW IN,1,9215,368.6,9215,368.6,Player23,,,,,,0.0,True,0.0
Away,PASS,,1,9215,368.6,9255,370.2,Player23,Player18,0.06,0.0,0.22,0.06,4425.578609316593,False,92.6257300463007
Away,PASS,,1,9306,372.24,9337,373.48,Player18,Player19,0.18,0.11,0.24,0.3,3059.652492270799,True,64.037399581595
Away,BALL LOST,INTERCEPTION,1,9337,373.48,9356,374.24,Player19,,0.24,0.3,0.24,0.39,1876.5614413862536,True,39.27573970084363
